GEMS.Station.Number,Sample.Date,pH,NO2N,NO3N,DRP
ARG00063,2020-12-14,8.62,0.0038,0.115,0.0196
ARG00063,2021-03-23,8.02,0.003,0.0115,0.01
ARG00063,2021-06-17,7.73,0.005,0.0125,0.001
ARG00063,2021-10-04,8.88,0.005,0.115,0.001
ARG00063,2021-12-09,8.5,0.005,0.115,0.165
ARG00063,2022-03-07,8.74,0.001,0.051,0.001
ARG00063,2022-06-28,8.8,0.001,0.0125,0.001
ARG00063,2022-10-05,8.41,0.011,0.2,0.019
ARG00063,2023-01-03,9.22,0.001,0.1,0.094
ARG00064,2019-09-11,7.62,0.01,0.5,0.05
ARG00064,2020-10-02,8.49,0.01,0.45,0.0629
ARG00064,2021-03-23,8.42,0.001,0.107,0.033
ARG00064,2021-06-30,8.63,0.0015,0.025,0.0015
ARG00064,2021-09-23,8.21,0.005,0.115,0.018
ARG00064,2021-12-27,8.75,0.005,0.115,0.165
ARG00064,2022-03-31,8.71,0.003,0.01,0.013
ARG00064,2022-06-09,8.11,0.001,0.0125,0.001
ARG00064,2022-09-29,8.32,0.006,0.0125,0.012
ARG00064,2022-12-28,8.44,0.001,0.0125,0.02
ARG00065,2020-10-07,8.51,0.0038,0.23,0.0293
ARG00065,2020-12-17,7.78,0.0038,0.115,0.00165
ARG00065,2021-03-24,7.52,0.004,0.0115,0.003
ARG00065,2021-06-14,7.81,0.0015,0.0125,0.001
ARG00065,2021-09-16,7.5,0.005,0.115,0.001
ARG00065,2021-12-08,8.01,0.005,0.115,0.165
ARG00065,2022-03-16,8.19,0.001,0.089,0.001
ARG00065,2022-06-23,8.15,0.011,0.0125,0.001
ARG00065,2022-09-14,8.49,0.001,0.1,0.009
ARG00065,2022-12-14,8.56,0.001,0.067,0.009
ARG00066,2019-09-09,7.45,0.01,0.5,0.05
ARG00066,2020-09-10,8.29,0.0038,0.23,0.00165
ARG00066,2021-03-30,8.15,0.0015,0.0115,0.013
ARG00066,2021-06-23,8.31,0.001,0.0125,0.0015
ARG00066,2021-09-24,8.18,0.005,0.115,0.005
ARG00066,2021-12-21,8.92,0.005,0.115,0.165
ARG00066,2022-03-28,8.77,0.0015,0.01,0.005
ARG00066,2022-06-10,8.11,0.001,0.0125,0.004
ARG00066,2022-09-28,8.62,0.001,0.0125,0.015
ARG00066,2022-12-12,8.07,0.001,0.0125,0.006
ARG00067,2020-03-19,8.71,0.01,0.22,0.05
ARG00067,2021-03-24,7.92,0.0015,0.0115,0.026
ARG00067,2021-10-04,8.3,0.005,0.115,0.001
ARG00067,2021-12-09,8.55,0.005,0.115,0.165
ARG00067,2022-03-07,8.79,0.001,0.01,0.023
ARG00067,2022-06-28,8.08,0.011,0.0125,0.021
ARG00067,2022-10-05,8.82,0.001,0.0125,0.017
ARG00067,2023-01-03,7.71,0.001,0.0125,0.197
ARG00068,2019-10-03,8.01,0.01,0.5,0.05
ARG00068,2020-10-06,8.29,0.0038,0.45,0.013
ARG00068,2020-12-16,7.55,0.0038,0.115,0.00165
ARG00068,2021-03-24,7.54,0.0015,0.0115,0.01
ARG00068,2021-06-14,7.29,0.0015,0.0125,0.001
ARG00068,2021-09-16,7.95,0.005,0.115,0.001
ARG00068,2021-12-08,7.74,0.005,0.115,0.165
ARG00068,2022-03-16,7.22,0.001,0.01,0.001
ARG00068,2022-06-23,7.67,0.001,0.0125,0.001
ARG00068,2022-09-13,8.36,0.001,0.0125,0.001
ARG00068,2022-12-14,7.78,0.001,0.0125,0.019
ARG00069,2018-09-20,8.15,0.01,0.2,0.05
ARG00069,2018-12-13,8.4,0.01,0.5,0.05
ARG00069,2019-12-11,8.18,0.01,0.1,0.05
ARG00069,2020-12-07,7.91,0.0038,0.115,0.0163
ARG00069,2021-03-04,8.58,0.004,0.226,0.007
ARG00069,2021-06-08,8.51,0.037,0.452,2.498
ARG00069,2021-09-21,8.25,0.005,0.115,0.01
ARG00069,2021-12-08,7.79,0.005,0.115,0.165
ARG00069,2022-03-09,9.03,0.003,0.01,0.02
ARG00069,2022-06-09,7.75,0.001,0.0125,0.004
ARG00069,2022-09-19,8.21,0.001,0.0125,0.162
ARG00069,2022-12-13,8.55,0.005,0.0125,0.016
ARG00070,2018-09-19,8.04,0.01,0.3,0.1
ARG00070,2018-12-10,8.81,0.01,0.3,0.05
ARG00070,2019-06-17,8.34,0.01,0.3,0.05
ARG00070,2019-12-13,8.46,0.01,0.05,0.05
ARG00070,2020-12-14,8.58,0.0038,0.23,0.0065
ARG00070,2021-03-10,9.15,0.004,0.226,0.02
ARG00070,2021-06-28,7.29,0.001,0.14,0.07
ARG00070,2021-09-08,8.08,0.005,0.0125,0.013
ARG00070,2021-12-13,8.22,0.005,0.115,0.165
ARG00070,2022-03-07,9.46,0.001,0.057,0.001
ARG00070,2022-06-06,9.07,0.003,0.0125,0.012
ARG00070,2022-09-07,7.0,0.001,0.0125,0.05
ARG00070,2022-12-26,8.67,0.001,0.0125,0.033
ARG00071,2018-12-10,8.44,0.01,0.3,0.05
ARG00071,2019-12-13,8.1,0.01,0.05,0.05
ARG00071,2021-03-10,6.82,0.004,0.226,0.01
ARG00071,2021-06-23,7.66,0.001,0.03,0.03
ARG00071,2021-12-13,6.67,0.005,0.115,0.165
ARG00071,2022-03-07,5.6,0.0015,0.0125,0.001
ARG00071,2022-06-06,8.65,0.001,0.0125,0.006
ARG00071,2022-09-19,7.4,0.001,0.0125,0.026
ARG00071,2022-12-19,6.57,0.001,0.0125,0.005
ARG00072,2018-12-28,7.2,0.01,0.3,0.05
ARG00072,2019-12-03,8.22,0.01,0.05,0.05
ARG00072,2020-12-09,8.19,0.0038,0.115,0.00165
ARG00072,2021-03-03,7.4,0.004,0.226,0.003
ARG00072,2021-06-16,6.68,0.004,0.226,0.01
ARG00072,2021-09-13,8.25,0.005,0.115,0.001
ARG00072,2021-12-05,6.57,0.005,0.115,0.165
ARG00072,2022-03-14,8.57,0.001,0.0125,0.001
ARG00072,2022-06-13,6.68,0.001,0.0125,0.001
ARG00072,2022-09-12,8.22,0.001,0.0125,0.006
ARG00072,2022-12-14,8.37,0.003,0.0125,0.008
ARG00073,2018-12-28,7.54,0.01,0.2,0.05
ARG00073,2019-12-05,7.53,0.01,0.05,0.05
ARG00073,2020-12-09,7.54,0.0038,0.115,0.00165
ARG00073,2021-03-03,7.43,0.004,0.226,0.003
ARG00073,2021-06-16,6.25,0.004,0.226,0.007
ARG00073,2021-09-13,7.92,0.005,0.115,0.001
ARG00073,2021-12-05,6.51,0.005,0.115,0.165
ARG00073,2022-03-14,7.2,0.001,0.0125,0.001
ARG00073,2022-06-27,6.33,0.001,0.0125,0.01
ARG00073,2022-09-14,8.61,0.001,0.0125,0.006
ARG00073,2022-12-14,8.25,0.003,0.0125,0.008
ARG00074,2018-09-19,8.23,0.01,0.2,0.05
ARG00074,2018-12-12,8.58,0.01,0.3,0.05
ARG00074,2019-12-10,8.14,0.01,0.1,0.05
ARG00074,2020-12-14,7.69,0.0038,0.23,0.0196
ARG00074,2021-03-10,8.57,0.004,0.452,0.007
ARG00074,2021-06-23,7.62,0.001,0.03,0.11
ARG00074,2021-09-08,6.85,0.003,0.0125,0.01
ARG00074,2021-12-13,8.82,0.005,0.115,0.165
ARG00074,2022-03-07,8.14,0.001,0.0125,0.001
ARG00074,2022-06-06,8.95,0.001,0.0125,0.001
ARG00074,2022-09-07,8.43,0.001,0.0125,0.006
ARG00074,2022-12-19,9.41,0.004,0.0125,0.004
ARG00075,2018-09-26,7.78,0.01,0.3,0.05
ARG00075,2018-12-27,7.76,0.01,0.3,0.05
ARG00075,2019-12-04,7.96,0.01,0.05,0.05
ARG00075,2020-12-16,6.79,0.0038,0.115,0.00165
ARG00075,2021-03-08,7.85,0.004,0.452,0.003
ARG00075,2021-06-14,7.71,0.004,0.226,0.013
ARG00075,2021-09-16,6.53,0.005,0.115,0.001
ARG00075,2021-12-15,6.58,0.005,0.115,0.165
ARG00075,2022-03-16,8.23,0.001,0.0125,0.001
ARG00075,2022-06-14,8.4,0.001,0.0125,0.001
ARG00075,2022-09-06,8.98,0.001,0.0125,0.028
ARG00075,2022-12-19,8.81,0.001,0.0125,0.01
ARG00076,2018-09-20,8.38,0.01,0.2,0.05
ARG00076,2018-12-13,8.25,0.01,0.3,0.05
ARG00076,2019-12-11,8.34,0.01,0.05,0.05
ARG00076,2020-12-07,7.85,0.0137,0.115,0.0228
ARG00076,2021-03-04,8.07,0.004,0.226,0.01
ARG00076,2021-06-08,8.42,0.004,0.226,0.016
ARG00076,2021-09-14,7.88,0.005,0.115,0.001
ARG00076,2021-12-08,8.41,0.005,0.115,0.165
ARG00076,2022-03-09,8.6,0.005,0.0125,0.004
ARG00076,2022-06-08,6.75,0.001,0.0125,0.006
ARG00076,2022-09-19,8.35,0.001,0.0125,0.016
ARG00076,2022-12-13,8.23,0.01,0.17,0.092
ARG00077,2019-12-06,7.78,0.01,0.05,0.05
ARG00077,2020-12-09,7.15,0.0038,0.23,0.00165
ARG00077,2021-03-15,7.1,0.004,0.226,0.003
ARG00077,2021-06-16,6.58,0.004,0.113,0.007
ARG00077,2021-09-13,6.08,0.005,0.115,0.001
ARG00077,2021-12-20,6.74,0.005,0.115,0.165
ARG00077,2022-03-14,8.71,0.001,0.0125,0.001
ARG00077,2022-06-13,6.61,0.001,0.0125,0.001
ARG00077,2022-09-12,8.04,0.001,0.0125,0.005
ARG00077,2022-12-14,8.87,0.01,0.17,0.092
ARG00078,2018-09-19,7.63,0.01,0.3,0.05
ARG00078,2018-12-12,8.15,0.01,0.3,0.05
ARG00078,2019-12-10,8.18,0.01,0.05,0.05
ARG00078,2020-12-14,7.52,0.0038,0.23,0.00165
ARG00078,2021-03-10,8.24,0.004,0.226,0.007
ARG00078,2021-06-23,7.13,0.001,0.03,0.09
ARG00078,2021-09-08,8.01,0.004,0.0125,0.007
ARG00078,2021-12-13,8.05,0.005,0.115,0.165
ARG00078,2022-03-07,8.44,0.004,0.0125,0.001
ARG00078,2022-06-08,8.94,0.001,0.0125,0.001
ARG00078,2022-09-07,7.76,0.005,0.0125,0.035
ARG00078,2022-12-19,7.52,0.001,0.0125,0.004
ARG00079,2018-12-28,7.8,0.01,0.3,0.05
ARG00079,2019-12-05,8.21,0.01,0.05,0.05
ARG00079,2020-12-01,7.44,0.0038,0.115,0.0098
ARG00079,2021-03-15,7.83,0.004,0.226,0.007
ARG00079,2021-06-16,7.11,0.004,0.226,0.016
ARG00079,2021-09-13,8.39,0.005,0.115,0.0015
ARG00079,2021-12-05,7.67,0.005,0.115,0.165
ARG00079,2022-03-14,7.92,0.001,0.0125,0.001
ARG00079,2022-06-13,9.41,0.001,0.0125,0.001
ARG00079,2022-09-12,8.19,0.001,0.0125,0.02
ARG00079,2022-12-14,8.21,0.001,0.0125,0.005
ARG00080,2018-09-27,8.31,0.01,0.4,0.05
ARG00080,2018-12-26,8.65,0.01,0.2,0.05
ARG00080,2019-07-24,8.03,0.01,0.3,0.05
ARG00080,2019-12-03,8.47,0.01,0.05,0.05
ARG00080,2020-12-16,7.92,0.0038,0.115,0.00165
ARG00080,2021-03-03,8.52,0.004,0.226,0.02
ARG00080,2021-06-14,7.15,0.004,0.226,0.016
ARG00080,2021-09-16,7.15,0.005,0.115,0.001
ARG00080,2021-12-05,7.88,0.005,0.115,0.165
ARG00080,2022-03-16,8.19,0.001,0.0125,0.001
ARG00080,2022-06-27,8.34,0.001,0.0125,0.001
ARG00080,2022-09-14,8.47,0.001,0.0125,0.001
ARG00080,2022-12-19,9.24,0.001,0.00125,0.08
ARG00081,2018-09-26,7.81,0.01,0.2,0.05
ARG00081,2018-12-27,8.26,0.01,0.2,0.05
ARG00081,2019-09-30,7.86,0.01,0.3,0.05
ARG00081,2019-12-04,7.42,0.01,0.05,0.05
ARG00081,2020-12-16,7.34,0.0038,0.115,0.00165
ARG00081,2021-03-08,8.04,0.004,0.113,0.007
ARG00081,2021-06-14,8.15,0.004,0.226,0.007
ARG00081,2021-09-16,7.98,0.005,0.115,0.001
ARG00081,2021-12-15,7.86,0.005,0.115,0.165
ARG00081,2022-03-16,8.2,0.006,0.131,0.001
ARG00081,2022-06-14,8.5,0.001,0.1,0.001
ARG00081,2022-09-06,11.08,0.001,0.1,0.006
ARG00081,2022-12-19,8.9,0.005,0.08,0.008
ARG00082,2018-09-21,8.29,0.01,0.2,0.05
ARG00082,2018-12-13,8.4,0.01,0.3,0.05
ARG00082,2019-02-11,8.56,0.01,0.2,0.05
ARG00082,2020-12-07,8.09,0.0038,0.23,0.00165
ARG00082,2021-03-04,8.05,0.004,0.678,0.013
ARG00082,2021-06-08,7.84,0.004,0.226,0.023
ARG00082,2021-09-14,8.13,0.005,0.115,0.01
ARG00082,2021-12-08,8.21,0.005,0.115,0.165
ARG00082,2022-03-09,8.07,0.005,0.0125,0.004
ARG00082,2022-06-09,7.48,0.001,0.0125,0.022
ARG00082,2022-09-19,8.0,0.001,0.0125,0.019
ARG00082,2022-12-13,8.43,0.006,0.0125,0.013
ARG00083,2018-12-03,7.18,0.01,0.05,0.7
ARG00083,2019-08-20,8.72,0.01,0.05,0.05
ARG00083,2019-11-07,8.38,0.07,0.05,0.05
ARG00083,2020-03-04,8.15,0.01,0.11,3.9
ARG00083,2020-08-24,7.17,0.00075,0.02,0.00165
ARG00083,2020-11-12,7.78,0.0061,0.11,0.00165
ARG00083,2021-02-04,7.86,0.00075,0.0225,0.08
ARG00083,2021-05-04,7.65,0.00075,0.81,0.004
ARG00083,2021-09-02,7.77,0.00075,0.11,0.02
ARG00083,2021-11-01,7.38,0.001,1.0,0.004
ARG00083,2022-02-01,8.2,0.00075,1.1,0.06
ARG00083,2022-05-22,7.34,0.00075,4.4,0.08
ARG00083,2022-08-04,7.89,0.004,2.8,0.06
ARG00083,2022-12-01,7.37,0.05,4.1,0.18
ARG00084,2018-11-14,6.95,0.01,0.05,0.3
ARG00084,2019-05-10,6.99,0.01,0.1,0.05
ARG00084,2019-08-14,8.67,0.01,0.05,0.05
ARG00084,2019-11-05,7.78,0.01,0.05,0.05
ARG00084,2020-02-25,7.56,0.01,0.05,0.68
ARG00084,2021-08-25,7.59,0.01,0.4,0.11
ARG00084,2021-11-25,7.28,0.003,3.7,0.004
ARG00084,2022-02-16,7.29,0.03,4.5,0.05
ARG00084,2022-05-21,7.31,0.00075,4.2,0.09
ARG00084,2022-08-28,7.85,0.03,2.5,0.02
ARG00084,2022-11-01,7.82,0.03,5.0,0.06
ARG00085,2018-11-16,8.04,0.01,0.2,2.7
ARG00085,2019-11-06,8.54,0.01,0.05,0.05
ARG00085,2020-03-03,7.87,0.01,0.13,1.4
ARG00085,2020-12-01,8.54,0.00075,0.23,0.00165
ARG00085,2021-06-28,7.81,0.0075,2.033,0.0165
ARG00085,2021-08-25,8.53,0.00075,0.0225,0.28
ARG00085,2021-11-25,9.02,0.01,0.2,0.004
ARG00085,2022-03-02,7.98,0.00075,1.7,0.04
ARG00085,2022-06-07,8.33,0.00075,1.1,0.08
ARG00085,2022-08-28,8.51,0.00075,0.3,0.04
ARG00085,2022-12-21,9.52,0.00075,1.56,0.05
ARG00086,2020-11-17,8.21,0.00075,0.14,0.00165
ARG00086,2021-05-10,7.62,0.02,0.29,0.19
ARG00086,2021-10-05,8.35,0.01,0.5,0.004
ARG00086,2021-11-16,7.96,0.017,1.8,0.004
ARG00086,2022-03-15,7.91,0.00075,1.2,0.03
ARG00086,2022-05-11,7.89,0.01,0.7,0.16
ARG00086,2022-08-21,7.94,0.00075,0.8,0.004
ARG00086,2022-11-15,8.57,0.5,0.99,0.5
ARG00087,2018-12-19,7.67,0.01,0.05,0.05
ARG00087,2019-06-23,7.34,0.01,0.3,0.05
ARG00087,2019-09-25,7.95,0.01,0.05,0.4
ARG00087,2019-12-18,7.99,0.01,0.05,0.05
ARG00087,2021-03-25,6.44,0.003,0.0565,0.0165
ARG00087,2021-07-19,7.74,0.003,0.055,0.015
ARG00087,2021-09-22,6.32,0.003,0.055,0.015
ARG00087,2022-01-05,6.65,0.001,0.005,0.005
ARG00087,2022-03-24,6.61,0.001,0.005,0.005
ARG00087,2022-06-26,6.23,0.001,0.0125,0.001
ARG00087,2022-09-15,6.96,0.001,0.005,0.005
ARG00087,2022-12-14,8.48,0.005,0.005,0.005
ARG00088,2018-12-19,7.98,0.01,0.05,0.05
ARG00088,2019-09-25,8.78,0.01,0.05,0.05
ARG00088,2019-12-18,7.91,0.01,0.05,0.05
ARG00088,2021-03-25,6.48,0.003,0.0565,0.0165
ARG00088,2021-07-19,6.58,0.003,0.86,0.015
ARG00088,2021-09-22,6.38,0.003,0.055,0.015
ARG00088,2022-01-05,7.08,0.001,0.005,0.005
ARG00088,2022-03-24,6.81,0.001,0.005,0.005
ARG00088,2022-06-26,6.54,0.003,0.1,0.035
ARG00088,2022-09-14,6.93,0.001,0.005,0.005
ARG00088,2022-12-14,8.49,0.001,0.005,0.005
ARG00089,2018-12-20,8.19,0.01,0.05,0.05
ARG00089,2019-09-26,8.36,0.01,0.05,0.4
ARG00089,2019-12-18,8.18,0.01,0.05,0.05
ARG00089,2021-03-29,7.83,0.003,0.0565,0.0165
ARG00089,2021-07-15,6.81,0.003,0.18,0.015
ARG00089,2021-09-21,7.73,0.003,0.055,0.015
ARG00089,2022-01-05,6.11,0.001,0.005,0.005
ARG00089,2022-03-23,7.59,0.001,0.005,0.005
ARG00089,2022-06-26,8.4,0.001,0.06,0.035
ARG00089,2022-09-14,6.95,0.001,0.005,0.005
ARG00089,2022-12-14,8.62,0.001,0.005,0.005
ARG00090,2018-12-10,7.43,0.01,0.2,0.05
ARG00090,2019-12-12,7.97,0.01,0.05,0.05
ARG00090,2021-03-21,7.59,0.004,0.226,0.003
ARG00090,2021-06-28,7.8,0.001,0.03,0.07
ARG00090,2021-09-27,6.37,0.01,0.115,0.001
ARG00090,2022-01-03,7.97,0.003,0.005,0.67
ARG00090,2022-03-21,7.11,0.001,0.005,0.005
ARG00090,2022-06-08,8.31,0.001,0.0125,0.001
ARG00090,2022-09-19,9.15,0.001,0.0125,0.04
ARG00090,2022-12-26,7.5,0.001,0.0125,0.023
ARG00091,2018-12-17,8.41,0.01,0.05,0.2
ARG00091,2019-06-19,8.25,0.01,0.05,0.05
ARG00091,2019-12-17,8.22,0.01,0.05,0.4
ARG00091,2021-03-24,7.33,0.003,0.0565,0.0165
ARG00091,2021-07-14,7.98,0.003,0.055,0.015
ARG00091,2021-09-21,6.57,0.003,0.055,0.015
ARG00091,2022-01-04,6.83,0.003,0.005,0.79
ARG00091,2022-03-22,7.31,0.001,0.005,0.005
ARG00091,2022-06-22,8.58,0.001,0.005,0.005
ARG00091,2022-09-13,7.8,0.001,0.005,0.005
ARG00091,2022-12-11,8.18,0.001,0.005,0.005
ARG00092,2018-10-14,8.11,0.01,0.3,0.05
ARG00092,2018-12-17,8.31,0.01,0.05,0.2
ARG00092,2019-12-16,8.38,0.01,0.05,0.05
ARG00092,2021-03-24,7.6,0.003,0.0565,0.0165
ARG00092,2021-07-13,7.55,0.003,0.055,0.015
ARG00092,2021-09-27,7.04,0.005,0.115,0.001
ARG00092,2022-01-04,7.59,0.001,0.005,0.65
ARG00092,2022-03-21,7.2,0.001,0.005,0.005
ARG00092,2022-06-21,8.64,0.001,0.005,0.005
ARG00092,2022-09-12,8.62,0.001,0.005,0.005
ARG00092,2022-12-11,282.7,0.001,0.005,0.005
ARG00093,2018-12-20,8.58,0.01,0.05,0.05
ARG00093,2019-06-20,8.29,0.01,0.05,0.05
ARG00093,2019-09-27,8.29,0.01,0.05,0.4
ARG00093,2019-12-17,8.42,0.01,0.05,0.05
ARG00093,2021-03-24,8.02,0.003,0.0565,0.0165
ARG00093,2021-07-15,6.85,0.003,0.23,0.015
ARG00093,2021-09-21,6.67,0.003,0.055,0.015
ARG00093,2022-01-05,6.77,0.001,0.005,0.005
ARG00093,2022-03-23,7.11,0.001,0.005,0.005
ARG00093,2022-06-22,6.3,0.001,0.005,0.005
ARG00093,2022-09-13,6.92,0.001,0.005,0.005
ARG00093,2022-12-14,7.39,0.001,0.005,0.005
ARG00094,2019-09-24,8.33,0.01,0.05,0.05
ARG00094,2019-12-17,7.83,0.01,0.05,0.05
ARG00094,2021-03-24,6.42,0.003,0.0565,0.0165
ARG00094,2021-07-14,7.69,0.003,0.16,0.62
ARG00094,2021-09-21,8.02,0.003,0.055,0.015
ARG00094,2022-01-04,7.52,0.003,0.005,0.67
ARG00094,2022-03-22,7.02,0.001,0.005,0.005
ARG00094,2022-06-22,8.15,0.001,0.005,0.005
ARG00094,2022-09-13,7.07,0.001,0.005,0.005
ARG00094,2022-12-11,6.95,0.001,0.005,0.005
ARG00095,2019-04-16,7.6,0.07,2.5,7.5
ARG00095,2019-07-17,7.22,0.01,1.1,0.2
ARG00095,2019-10-24,7.34,0.01,1.6,1.0
ARG00095,2020-07-22,7.6,0.0076,10.15,0.0163
ARG00095,2020-10-14,7.89,0.0076,8.81,0.0163
ARG00095,2021-01-19,8.07,0.0075,2.033,0.0165
ARG00095,2021-04-19,7.24,0.0075,4.97,0.0165
ARG00095,2021-07-27,7.78,0.01,1.94,0.015
ARG00095,2021-10-19,7.66,0.01,10.22,0.04
ARG00095,2022-01-06,8.19,0.01,4.7,0.015
ARG00095,2022-04-06,7.12,0.01,1.1,0.015
ARG00095,2022-07-07,8.09,0.01,7.5,0.015
ARG00095,2022-10-13,7.88,0.01,0.025,0.04
ARG00096,2019-04-08,7.51,0.01,2.0,0.05
ARG00096,2020-01-14,7.37,0.024,2.2,0.05
ARG00096,2020-07-28,7.77,0.0076,5.38,0.0163
ARG00096,2020-10-21,8.22,0.0076,3.16,0.0163
ARG00096,2021-01-12,8.62,0.0075,4.97,0.0165
ARG00096,2021-04-14,7.28,0.0075,4.97,0.0165
ARG00096,2021-07-21,7.8,0.01,2.67,0.015
ARG00096,2021-10-05,7.71,0.01,32.0,0.04
ARG00096,2022-01-04,8.52,0.01,0.025,0.015
ARG00096,2022-04-05,7.32,0.01,1.0,0.015
ARG00096,2022-07-06,8.83,0.01,2.27,0.015
ARG00096,2022-10-11,8.05,0.01,2.18,0.04
ARG00097,2019-04-09,7.45,0.01,1.4,0.05
ARG00097,2020-01-15,7.07,0.01,1.1,0.05
ARG00097,2020-07-23,7.67,0.0076,7.25,0.0163
ARG00097,2020-10-22,8.37,0.0076,0.9,0.0163
ARG00097,2021-01-13,8.36,0.0075,5.648,0.0165
ARG00097,2021-04-15,7.45,0.0075,5.873,0.0165
ARG00097,2021-07-20,8.03,0.01,2.82,0.015
ARG00098,2019-04-08,8.09,0.01,2.7,0.1
ARG00098,2020-07-27,8.51,0.0076,4.77,0.0163
ARG00098,2020-10-21,8.4,0.0076,2.49,0.0163
ARG00098,2021-01-12,8.49,0.0075,3.61,0.0165
ARG00098,2021-04-13,7.47,0.0075,5.196,0.0165
ARG00098,2021-07-21,8.21,0.01,2.67,0.015
ARG00098,2021-10-06,8.15,0.01,21.0,0.04
ARG00098,2022-01-04,8.78,0.01,1.6,0.015
ARG00098,2022-04-04,7.91,0.01,0.025,0.015
ARG00098,2022-07-05,10.1,0.01,3.4,0.015
ARG00098,2022-10-11,8.68,0.01,1.2,0.04
ARG00099,2020-07-22,7.67,0.0076,1.79,0.0163
ARG00099,2020-10-13,7.73,0.0076,0.45,0.0163
ARG00099,2021-01-19,7.96,0.0075,1.175,0.0165
ARG00099,2021-04-19,7.91,0.0075,2.485,0.0165
ARG00099,2021-07-26,7.94,0.01,0.36,0.015
ARG00099,2021-10-20,7.7,0.01,0.22,0.04
ARG00099,2022-02-03,8.18,0.01,0.025,0.015
ARG00099,2022-04-07,7.72,0.01,0.025,0.015
ARG00099,2022-07-21,7.75,0.01,1.4,0.015
ARG00099,2022-10-17,7.76,0.01,0.8,0.04
ARG00100,2020-07-17,7.62,0.0638,1.99,0.0652
ARG00100,2020-11-03,8.05,0.0182,0.57,0.0978
ARG00100,2021-01-06,8.01,0.0075,1.355,0.0165
ARG00100,2021-04-07,8.06,0.0075,2.259,0.0165
ARG00100,2021-07-22,7.97,0.01,0.29,0.015
ARG00100,2021-10-21,7.88,0.01,9.0,0.04
ARG00100,2022-01-27,7.3,0.01,0.7,0.015
ARG00100,2022-04-28,7.64,0.01,0.4,0.015
ARG00100,2022-07-19,8.05,0.01,1.4,0.015
ARG00100,2022-10-24,7.35,0.01,0.5,0.04
ARG00101,2019-04-08,7.86,0.01,2.0,0.1
ARG00101,2020-01-21,7.27,0.01,1.1,0.05
ARG00101,2020-07-23,8.46,0.0076,4.27,0.0163
ARG00101,2020-10-22,8.01,0.0076,3.84,0.0163
ARG00101,2021-01-12,8.2,0.0075,5.873,0.0165
ARG00101,2021-04-14,7.28,0.0075,3.84,0.0165
ARG00101,2021-07-21,7.6,0.01,2.67,0.015
ARG00101,2021-10-13,8.08,0.01,15.0,0.04
ARG00101,2022-01-05,8.65,0.01,1.6,0.015
ARG00101,2022-04-05,7.41,0.01,0.025,0.015
ARG00101,2022-07-06,8.52,0.01,2.72,0.015
ARG00102,2019-04-09,6.62,0.01,2.03225806451613,0.05
ARG00102,2020-07-23,7.29,0.0076,4.97,0.0163
ARG00102,2020-10-14,7.21,0.0076,2.26,0.0163
ARG00102,2021-01-20,7.81,0.0075,8.358,0.0165
ARG00102,2021-04-20,7.9,0.0075,0.791,0.0165
ARG00102,2021-07-20,7.62,0.01,0.81,0.015
ARG00102,2021-10-19,7.47,0.01,2.5,0.04
ARG00102,2022-01-06,7.11,0.01,1.6,0.015
ARG00102,2022-04-06,7.37,0.01,1.2,0.015
ARG00102,2022-07-07,6.97,0.01,2.9,0.015
ARG00102,2022-10-10,8.0,0.01,1.0,0.04
ARG00103,2020-07-15,8.38,0.1702,3.68,0.1956
ARG00103,2020-10-09,8.61,0.0076,1.58,0.0163
ARG00103,2021-01-05,8.52,0.0075,2.033,0.0165
ARG00103,2021-04-07,7.96,0.0075,5.196,0.0165
ARG00103,2021-07-22,8.51,0.01,1.24,0.015
ARG00103,2021-10-18,9.46,0.01,2.5,0.04
ARG00103,2022-01-10,8.21,0.01,0.8,0.015
ARG00103,2022-04-11,7.67,0.01,0.3,0.015
ARG00103,2022-07-14,9.58,0.01,2.5,0.015
ARG00103,2022-10-03,9.19,0.01,0.01,0.04
ARG00104,2020-07-14,7.9,0.0152,2.19,0.0326
ARG00104,2020-10-08,8.77,0.0076,1.13,0.0163
ARG00104,2021-01-05,7.63,0.0075,2.033,0.0165
ARG00104,2021-04-06,7.46,0.0075,1.807,0.0165
ARG00104,2021-08-03,8.95,0.01,1.36,0.015
ARG00104,2021-10-18,7.7,0.01,0.22,0.04
ARG00104,2022-01-12,7.36,0.01,0.83,0.015
ARG00104,2022-04-26,6.7,0.01,0.025,0.015
ARG00104,2022-07-13,7.38,0.01,1.1,0.015
ARG00104,2022-10-04,7.22,0.01,0.025,0.04
ARG00106,2019-10-16,8.02,0.01,4.5,2.5
ARG00106,2020-07-15,9.02,0.0274,2.4,0.0652
ARG00106,2020-10-09,7.52,0.0076,1.36,0.0163
ARG00106,2021-01-06,7.48,0.0075,2.033,0.0165
ARG00106,2021-04-08,7.87,0.0075,2.937,0.0165
ARG00106,2021-08-02,9.0,0.01,2.0,0.015
ARG00106,2021-10-07,9.55,0.01,1.0,0.04
ARG00106,2022-01-11,7.55,0.01,1.08,0.015
ARG00106,2022-04-27,7.31,0.01,0.3,0.015
ARG00106,2022-07-12,8.74,0.01,1.4,0.015
ARG00106,2022-10-05,8.02,0.01,0.26,0.04
ARG00107,2018-08-16,7.73,0.01,0.05,0.05
ARG00107,2018-11-08,7.22,0.01,0.05,0.05
ARG00107,2019-05-23,7.88,0.01,1.0,0.05
